variable;frequency;categoria;pipeline_id;pipeline;n_steps;n_obs;ADF;KPSS;Phillips-Perron;DFGLS;n_stationary;is_stationary;applicable;cv_var;iqr_ratio
pim_industria_extrativa;Monthly;Mensal;0;nível;0;293;True;False;False;False;1;False;True;0.8135880138861599;1.555351623417489
pim_industria_extrativa;Monthly;Mensal;1;diff;1;292;True;True;True;True;4;True;True;0.6319343852956192;1.1704121428780319
pim_industria_extrativa;Monthly;Mensal;2;log;1;293;True;False;False;False;1;False;True;0.7931517173194884;1.7599082917298123
pim_industria_extrativa;Monthly;Mensal;3;log→diff;3;292;True;True;True;True;4;True;True;0.624416006186392;1.0443620130075362
pim_industria_extrativa;Monthly;Mensal;4;boxcox;1;293;False;False;False;False;0;False;True;0.9757157817293451;2.6657253457384353
pim_industria_extrativa;Monthly;Mensal;5;boxcox→diff;2;292;True;True;True;True;4;True;True;0.7148376343430001;1.5119064076329927
pim_industria_extrativa;Monthly;Mensal;6;yeojohnson;1;293;False;False;False;False;0;False;True;0.9759638617865837;2.6664905551554225
pim_industria_extrativa;Monthly;Mensal;7;yeojohnson→diff;2;292;True;True;True;True;4;True;True;0.7149253630841139;1.5123602832370155
pim_industria_extrativa;Monthly;Anual;8;sdiff12;1;281;True;True;True;True;4;True;True;0.948880552784033;1.3562173064324576
pim_industria_extrativa;Monthly;Anual;9;sdiff12→diff;2;280;True;True;True;True;4;True;True;0.5446162405253153;0.8745198155595265
pim_industria_extrativa;Monthly;Anual;10;log→sdiff12;3;281;True;True;True;True;4;True;True;0.928046572686309;1.2660929565186025
pim_industria_extrativa;Monthly;Anual;11;log→sdiff12→diff;4;280;True;True;True;True;4;True;True;0.5509445298535852;0.9312395041989237
pim_industria_extrativa;Monthly;Anual;12;boxcox→sdiff12→diff;3;280;True;True;True;True;4;True;True;0.5664958570051595;0.8890891237357865
pim_industria_extrativa;Monthly;Mensal;13;mom_pct;1;292;True;True;True;True;4;True;True;0.5977211406981735;1.0799347982023495
pim_industria_extrativa;Monthly;Anual;14;mom_pct_annual_rate;1;292;True;True;True;True;4;True;True;0.5977211406981735;1.0799347982023495
pim_industria_extrativa;Monthly;Anual;15;yoy_pct_monthly;1;281;True;True;True;True;4;True;True;0.9075880886653233;1.0472908464147983
pim_industria_transformacao;Monthly;Mensal;0;nível;0;293;False;False;False;False;0;False;True;1.146701184849866;2.720480698545414
pim_industria_transformacao;Monthly;Mensal;1;diff;1;292;True;True;True;True;4;True;True;1.3900813867735458;3.44829219252404
pim_industria_transformacao;Monthly;Mensal;2;log;1;293;True;False;False;False;1;False;True;1.3140985022566714;2.46779769743325
pim_industria_transformacao;Monthly;Mensal;3;log→diff;3;292;True;True;True;True;4;True;True;1.691339464795028;4.012225944927995
pim_industria_transformacao;Monthly;Mensal;4;boxcox;1;293;True;False;False;False;1;False;True;1.2627542583389535;2.4498765604678674
pim_industria_transformacao;Monthly;Mensal;5;boxcox→diff;2;292;True;True;True;True;4;True;True;1.6129313550903823;4.058223929748244
pim_industria_transformacao;Monthly;Mensal;6;yeojohnson;1;293;True;False;False;False;1;False;True;1.262812084264519;2.4506194824403376
pim_industria_transformacao;Monthly;Mensal;7;yeojohnson→diff;2;292;True;True;True;True;4;True;True;1.6129735085284818;4.0577719150907825
pim_industria_transformacao;Monthly;Anual;8;sdiff12;1;281;True;True;True;True;4;True;True;1.17560157829513;2.279255677614476
pim_industria_transformacao;Monthly;Anual;9;sdiff12→diff;2;280;True;True;True;True;4;True;True;1.1948752034860204;2.4331176104178627
pim_industria_transformacao;Monthly;Anual;10;log→sdiff12;3;281;True;True;True;True;4;True;True;1.2507593505928194;2.084572392285609
pim_industria_transformacao;Monthly;Anual;11;log→sdiff12→diff;4;280;True;True;True;True;4;True;True;1.455727615094681;3.4642445578349648
pim_industria_transformacao;Monthly;Anual;12;boxcox→sdiff12→diff;3;280;True;True;True;True;4;True;True;1.3882978313342897;3.2451242634023263
pim_industria_transformacao;Monthly;Mensal;13;mom_pct;1;292;True;True;True;True;4;True;True;1.619954669955466;3.5738784739128966
pim_industria_transformacao;Monthly;Anual;14;mom_pct_annual_rate;1;292;True;True;True;True;4;True;True;1.619954669955466;3.5738784739128966
pim_industria_transformacao;Monthly;Anual;15;yoy_pct_monthly;1;281;True;True;True;True;4;True;True;1.2614937833270783;2.6490741411254413
pim_bens_capital;Monthly;Mensal;0;nível;0;293;False;True;False;False;1;False;True;0.9732163637466098;2.199522970888492
pim_bens_capital;Monthly;Mensal;1;diff;1;292;True;True;True;True;4;True;True;0.777912272303076;2.1017830994984066
pim_bens_capital;Monthly;Mensal;2;log;1;293;False;True;False;False;1;False;True;1.0850696972651472;2.028070908023764
pim_bens_capital;Monthly;Mensal;3;log→diff;3;292;True;True;True;True;4;True;True;0.98281695873997;1.1670994491316147
pim_bens_capital;Monthly;Mensal;4;boxcox;1;293;False;True;False;False;1;False;True;1.0087754081023945;2.0062687168582616
pim_bens_capital;Monthly;Mensal;5;boxcox→diff;2;292;True;True;True;True;4;True;True;0.8241110567816544;1.3771067523688032
pim_bens_capital;Monthly;Mensal;6;yeojohnson;1;293;False;True;False;False;1;False;True;1.0086888554800426;2.006421022887782
pim_bens_capital;Monthly;Mensal;7;yeojohnson→diff;2;292;True;True;True;True;4;True;True;0.8237140195754215;1.3776726542304594
pim_bens_capital;Monthly;Anual;8;sdiff12;1;281;True;True;True;True;4;True;True;0.923921131142801;1.5967466919645803
pim_bens_capital;Monthly;Anual;9;sdiff12→diff;2;280;True;True;True;True;4;True;True;0.6940705269537698;1.053622228004078
pim_bens_capital;Monthly;Anual;10;log→sdiff12;3;281;True;True;True;True;4;True;True;1.0211366395669579;1.7946616128393797
pim_bens_capital;Monthly;Anual;11;log→sdiff12→diff;4;280;True;True;True;True;4;True;True;1.0044371051223253;1.1873987434478819
pim_bens_capital;Monthly;Anual;12;boxcox→sdiff12→diff;3;280;True;True;True;True;4;True;True;0.8108145785405024;1.4562439938725806
pim_bens_capital;Monthly;Mensal;13;mom_pct;1;292;True;True;True;True;4;True;True;0.8951825244406563;1.2712147378839658
pim_bens_capital;Monthly;Anual;14;mom_pct_annual_rate;1;292;True;True;True;True;4;True;True;0.8951825244406563;1.2712147378839658
pim_bens_capital;Monthly;Anual;15;yoy_pct_monthly;1;281;True;True;True;True;4;True;True;1.202743344510396;1.2468202037804006
pim_bens_intermediarios;Monthly;Mensal;0;nível;0;293;False;False;False;False;0;False;True;1.2442096946941426;2.5525133152529214
pim_bens_intermediarios;Monthly;Mensal;1;diff;1;292;True;True;True;True;4;True;True;1.0275443452565802;2.2752573760478723
pim_bens_intermediarios;Monthly;Mensal;2;log;1;293;True;False;False;False;1;False;True;1.2361056027680526;2.8882349074572753
pim_bens_intermediarios;Monthly;Mensal;3;log→diff;3;292;True;True;True;True;4;True;True;1.1944336565783504;3.3353099206061954
pim_bens_intermediarios;Monthly;Mensal;4;boxcox;1;293;True;False;False;False;1;False;True;1.2358198013663082;2.8910872343092953
pim_bens_intermediarios;Monthly;Mensal;5;boxcox→diff;2;292;True;True;True;True;4;True;True;1.188003365154979;3.294385851483324
pim_bens_intermediarios;Monthly;Mensal;6;yeojohnson;1;293;True;False;False;False;1;False;True;1.2358092215592902;2.891102628567386
pim_bens_intermediarios;Monthly;Mensal;7;yeojohnson→diff;2;292;True;True;True;True;4;True;True;1.1879100856478464;3.294234626511818
pim_bens_intermediarios;Monthly;Anual;8;sdiff12;1;281;True;True;True;True;4;True;True;1.4960701185121486;2.4743628513480442
pim_bens_intermediarios;Monthly;Anual;9;sdiff12→diff;2;280;True;True;True;True;4;True;True;0.904768860592775;2.205313339221023
pim_bens_intermediarios;Monthly;Anual;10;log→sdiff12;3;281;True;True;True;True;4;True;True;1.4210277013411647;2.816387577782964
pim_bens_intermediarios;Monthly;Anual;11;log→sdiff12→diff;4;280;True;True;True;True;4;True;True;1.0224558816771343;2.4887583842809344
pim_bens_intermediarios;Monthly;Anual;12;boxcox→sdiff12→diff;3;280;True;True;True;True;4;True;True;1.017674162791705;2.4739726142039844
pim_bens_intermediarios;Monthly;Mensal;13;mom_pct;1;292;True;True;True;True;4;True;True;1.1690203010897255;3.4852966502696856
pim_bens_intermediarios;Monthly;Anual;14;mom_pct_annual_rate;1;292;True;True;True;True;4;True;True;1.1690203010897255;3.4852966502696856
pim_bens_intermediarios;Monthly;Anual;15;yoy_pct_monthly;1;281;True;True;True;True;4;True;True;1.4137274324676503;2.557213690612613
pim_bens_consumo;Monthly;Mensal;0;nível;0;293;False;False;False;False;0;False;True;1.2892499318781239;1.5432761986349997
pim_bens_consumo;Monthly;Mensal;1;diff;1;292;True;True;True;True;4;True;True;1.3222761495341964;1.0935001533348037
pim_bens_consumo;Monthly;Mensal;2;log;1;293;False;False;True;False;1;False;True;1.5454036120857493;1.4807250646708523
pim_bens_consumo;Monthly;Mensal;3;log→diff;3;292;True;True;True;True;4;True;True;1.6034213794128973;0.9305111648247638
pim_bens_consumo;Monthly;Mensal;4;boxcox;1;293;False;False;False;False;0;False;True;1.1660833944887565;1.493726307147901
pim_bens_consumo;Monthly;Mensal;5;boxcox→diff;2;292;True;True;True;True;4;True;True;1.1868437675532844;1.210944888365945
pim_bens_consumo;Monthly;Mensal;6;yeojohnson;1;293;False;False;False;False;0;False;True;1.1660896223265842;1.4935880495340161
